"","x"
"(Intercept)",0.00190852939729228
"airTemp",6.60264387434776e-06
"log.age",5.89104993835899e-05
"mean.depth",1.60304563001537e-06
"surface.area",9.91445888641515e-09
"BorealV",-0.000170901378668355
"log.DIP",-7.27859067701221e-05
"log.precip",-0.000165504875016367
"HydroV",-1.82858167491175e-05
"TropicalV",-0.00015197018575072
